"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Malcolm Perry","MIA","0.3","0.5","0.0","1.0","12.0","0.1","0.0","2.4"
"","high","0.3","0.5","0.0","1.0","12.0","0.1","0.0","2.4"
"","low","0.3","0.5","0.0","1.0","12.0","0.1","0.0","2.4"
"C.J. Prosise","HOU","0.0","7.9","0.0","1.0","6.1","0.0","0.0","2.3"
"","high","0.0","7.9","0.0","1.0","6.1","0.0","0.0","2.3"
"","low","0.0","7.9","0.0","1.0","6.1","0.0","0.0","2.3"
"Jaylen Samuels","PIT","3.1","6.7","0.0","1.3","7.2","0.0","0.0","2.2"
"","high","3.1","7.2","0.0","1.8","8.0","0.0","0.0","2.4"
"","low","3.1","6.2","0.0","0.9","6.5","0.0","0.0","2.4"
"Mike Boone","MIN","3.4","14.6","0.1","0.6","1.2","0.0","0.0","2.2"
"","high","5.2","28.8","0.1","1.4","2.0","0.0","0.0","1.6"
"","low","1.7","6.8","0.0","0.1","0.3","0.0","0.0","1.6"
"Justice Hill","BAL","3.5","10.6","0.0","1.1","3.5","0.0","0.0","2.2"
"","high","3.5","12.3","0.1","1.5","3.5","0.0","0.0","2.2"
"","low","3.5","9.0","0.0","0.8","3.5","0.0","0.0","2.2"
"Ameer Abdullah","MIN","4.2","12.3","0.0","0.9","5.3","0.0","0.2","2.1"
"","high","4.4","18.2","0.0","1.6","7.4","0.1","0.0","2.9"
"","low","3.9","5.5","0.0","0.5","3.2","0.0","0.5","1.6"
"Trayveon Williams","CIN","4.8","11.5","0.0","0.9","3.4","0.0","0.0","2.1"
"","high","4.8","16.8","0.1","1.6","5.4","0.0","0.0","1.6"
"","low","4.8","6.3","0.0","0.3","1.5","0.0","0.0","1.6"
"J.J. Taylor","NE","0.0","12.1","0.1","0.4","2.1","0.0","0.0","2.1"
"","high","0.0","12.1","0.1","0.4","2.1","0.0","0.0","2.2"
"","low","0.0","12.1","0.1","0.4","2.1","0.0","0.0","2.2"
"Jakob Johnson","NE","3.3","10.3","0.0","1.2","4.2","0.0","0.0","2.0"
"","high","3.3","10.3","0.0","1.2","4.2","0.0","0.0","0.0"
"","low","3.3","10.3","0.0","1.2","4.2","0.0","0.0","0.0"
"Theo Riddick","LV","2.2","6.6","0.0","1.2","6.0","0.0","0.0","2.0"
"","high","3.0","7.8","0.0","2.0","9.2","0.0","0.0","1.8"
"","low","1.4","5.4","0.0","0.4","2.8","0.0","0.0","1.8"
"Troymaine Pope","LAC","2.1","6.5","0.0","1.4","6.7","0.0","0.0","2.0"
"","high","2.1","6.5","0.0","1.4","6.7","0.0","0.0","0.0"
"","low","2.1","6.5","0.0","1.4","6.7","0.0","0.0","0.0"
"Trenton Cannon","CAR","1.7","5.9","0.0","0.7","5.1","0.0","0.0","1.9"
"","high","1.7","6.9","0.1","1.0","7.9","0.1","0.0","2.5"
"","low","1.7","4.8","0.0","0.5","2.3","0.0","0.0","1.4"
"Ryan Nall","CHI","2.1","5.4","0.0","0.9","5.1","0.0","0.0","1.8"
"","high","3.4","11.0","0.0","1.2","7.1","0.1","0.0","1.8"
"","low","0.7","2.4","0.0","0.5","3.6","0.0","0.0","1.7"
"Eno Benjamin","ARI","1.8","8.4","0.1","0.2","2.3","0.0","0.0","1.8"
"","high","1.8","8.4","0.1","0.2","2.3","0.0","0.0","1.8"
"","low","1.8","8.4","0.1","0.2","2.3","0.0","0.0","1.8"
"Darrynton Evans","TEN","3.0","9.6","0.0","1.1","3.1","0.0","0.0","1.8"
"","high","3.0","9.6","0.0","1.1","3.1","0.0","0.0","0.0"
"","low","3.0","9.6","0.0","1.1","3.1","0.0","0.0","0.0"
"Alec Ingold","LV","0.0","0.0","0.0","1.1","8.5","0.1","0.0","1.7"
"","high","0.0","0.0","0.0","1.1","8.5","0.1","0.0","1.8"
"","low","0.0","0.0","0.0","1.1","8.5","0.1","0.0","1.8"
"Corey Clement","PHI","2.2","7.1","0.0","0.6","2.9","0.0","0.0","1.6"
"","high","2.5","7.8","0.1","1.3","5.4","0.0","0.0","1.8"
"","low","2.0","6.3","0.0","0.2","1.2","0.0","0.0","1.7"
"LeSean McCoy","TB","4.5","5.8","0.0","0.9","4.4","0.0","0.0","1.6"
"","high","4.5","8.2","0.0","1.0","5.8","0.0","0.0","1.7"
"","low","4.5","3.5","0.0","0.8","3.0","0.0","0.0","1.7"
"Reggie Gilliam","BUF","0.7","2.5","0.0","0.6","4.6","0.1","0.0","1.6"
"","high","0.7","2.5","0.0","0.6","4.6","0.1","0.0","1.6"
"","low","0.7","2.5","0.0","0.6","4.6","0.1","0.0","1.6"
"Craig Reynolds","JAC","1.6","6.8","0.1","0.2","2.2","0.0","0.0","1.6"
"","high","1.6","6.8","0.1","0.2","2.2","0.0","0.0","1.6"
"","low","1.6","6.8","0.1","0.2","2.2","0.0","0.0","1.6"
