"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"","low","0.5","1.4","0.0","0.1","0.0","0.0","0.0","0.8"
"Keith Smith","ATL","0.9","2.2","0.0","0.7","2.7","0.0","0.0","1.2"
"","high","2.2","6.7","0.0","0.9","4.0","0.0","0.0","1.2"
"","low","0.2","0.4","0.0","0.4","1.9","0.0","0.0","0.9"
"Artavis Pierce","CHI","0.0","1.9","0.0","0.5","3.5","0.0","0.0","1.1"
"","high","0.0","3.8","0.0","0.6","4.1","0.0","0.0","1.5"
"","low","0.0","0.0","0.0","0.3","3.0","0.0","0.0","0.8"
"Mike Boone","MIN","0.9","6.2","0.0","0.2","0.7","0.0","0.0","1.1"
"","high","2.0","11.1","0.1","0.3","2.3","0.0","0.0","1.9"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2"
"Austin Walter","SF","1.4","4.0","0.0","0.6","1.7","0.0","0.0","1.1"
"","high","1.4","4.0","0.0","0.6","1.7","0.0","0.0","0.0"
"","low","1.4","4.0","0.0","0.6","1.7","0.0","0.0","0.0"
"Sewo Olonilua","DAL","0.4","3.7","0.0","0.3","1.5","0.0","0.0","1.0"
"","high","0.6","8.6","0.1","0.5","3.0","0.0","0.0","2.0"
"","low","0.3","1.0","0.0","0.1","0.7","0.0","0.0","0.4"
"Michael Burton","NO","1.1","2.9","0.0","0.5","2.0","0.0","0.0","0.9"
"","high","2.5","7.8","0.0","1.0","5.0","0.0","0.0","1.2"
"","low","0.2","1.0","0.0","0.1","0.0","0.0","0.0","0.6"
"Chandler Cox","MIA","0.5","1.3","0.0","0.4","3.2","0.0","0.0","0.9"
"","high","1.0","4.0","0.0","0.7","4.5","0.0","0.0","1.3"
"","low","0.0","0.0","0.0","0.3","1.0","0.0","0.0","0.6"
"Rico Dowdle","DAL","0.8","3.2","0.0","0.3","1.5","0.0","0.0","0.9"
"","high","1.6","5.0","0.0","0.7","1.8","0.0","0.0","1.2"
"","low","0.0","0.0","0.0","0.1","1.0","0.0","0.0","0.4"
"Senorise Perry","TEN","1.1","3.2","0.0","0.5","1.0","0.0","0.0","0.9"
"","high","1.1","3.2","0.0","0.5","1.0","0.0","0.0","0.0"
"","low","1.1","3.2","0.0","0.5","1.0","0.0","0.0","0.0"
"Jeremy Cox","DEN","0.0","2.5","0.0","0.3","1.8","0.0","0.0","0.9"
"","high","0.0","2.5","0.0","0.3","1.8","0.0","0.0","0.9"
"","low","0.0","2.5","0.0","0.3","1.8","0.0","0.0","0.9"
"Gabe Nabers","LAC","0.9","2.5","0.0","0.3","2.6","0.0","0.0","0.9"
"","high","1.4","6.0","0.0","0.4","4.0","0.0","0.0","1.5"
"","low","0.3","0.5","0.0","0.1","0.9","0.0","0.0","0.5"
"Elijhaa Penny","NYG","1.2","3.7","0.0","0.3","1.3","0.0","0.0","0.8"
"","high","2.9","9.2","0.0","0.7","2.8","0.0","0.0","0.9"
"","low","0.2","1.0","0.0","0.1","0.4","0.0","0.0","0.5"
"Anthony Sherman","KC","0.4","0.5","0.0","0.2","1.6","0.1","0.0","0.8"
"","high","0.6","1.0","0.0","0.5","3.9","0.2","0.0","1.9"
"","low","0.1","0.0","0.0","0.0","0.1","0.0","0.0","0.5"
